,0,1,2,3,4,5,6,7,8,9
H-alpha,0.048,0.048,0.044,0.058,0.042,0.044,0.038,0.048,0.04,0.048
1.d SGF,0.164,0.16,0.176,0.146,0.142,0.158,0.17,0.166,0.172,0.17
2.d SGF,0.068,0.068,0.07,0.06,0.044,0.066,0.072,0.074,0.066,0.074
MM 4,0.008,0.002,0.01,0.014,0.002,0.012,0.012,0.01,0.006,0.02
MM 6,0.02,0.028,0.018,0.008,0.03,0.016,0.012,0.006,0.014,0.002
MM 8,0.01,0.008,0.014,0.012,0.028,0.01,0.01,0.004,0.008,0.01
MM 10,0.004,0.008,0.004,0.006,0.006,0.006,0.004,0.006,0.002,0.006
MM 12,0.016,0.02,0.038,0.008,0.044,0.02,0.026,0.022,0.02,0.028
MM 14,0.056,0.066,0.046,0.062,0.05,0.064,0.06,0.05,0.068,0.072
MM 16,0.104,0.076,0.08,0.096,0.064,0.076,0.094,0.084,0.09,0.066
EMM 4,0.032,0.044,0.04,0.038,0.052,0.028,0.026,0.028,0.028,0.008
EMM 6,0.018,0.014,0.018,0.024,0.008,0.012,0.012,0.006,0.016,0.014
EMM 8,0.004,0.008,0.018,0.022,0.01,0.016,0.018,0.024,0.018,0.002
EMM 10,0.002,0.0,0.006,0.004,0.002,0.002,0.002,0.008,0.004,0.004
EMM 12,0.0,0.002,0.002,0.01,0.002,0.0,0.002,0.002,0.012,0.0
EMM 14,0.022,0.038,0.018,0.04,0.066,0.04,0.05,0.02,0.03,0.04
EMM 16,0.062,0.054,0.044,0.048,0.052,0.054,0.026,0.066,0.048,0.048
MVar 5,0.01,0.014,0.022,0.026,0.016,0.018,0.012,0.024,0.024,0.028
MVar 6,0.0,0.004,0.002,0.01,0.01,0.008,0.002,0.008,0.014,0.008
MVar 7,0.018,0.014,0.01,0.022,0.026,0.012,0.02,0.014,0.008,0.022
MVar 8,0.01,0.006,0.01,0.006,0.004,0.006,0.006,0.008,0.008,0.018
MVar 9,0.026,0.024,0.012,0.01,0.03,0.022,0.02,0.018,0.02,0.0
MVar 10,0.016,0.01,0.006,0.01,0.006,0.014,0.006,0.022,0.01,0.02
MVar 11,0.012,0.01,0.01,0.002,0.008,0.012,0.014,0.008,0.006,0.022
MVar 12,0.004,0.0,0.0,0.002,0.002,0.002,0.002,0.002,0.004,0.0
MVar 13,0.02,0.018,0.024,0.022,0.004,0.022,0.026,0.022,0.018,0.018
MVar 14,0.0,0.02,0.04,0.008,0.018,0.014,0.018,0.026,0.028,0.01
MVar 15,0.02,0.018,0.026,0.008,0.028,0.024,0.024,0.018,0.02,0.022
MVar 16,0.226,0.218,0.192,0.218,0.204,0.222,0.216,0.206,0.198,0.22